city_type,open_formats,id,days_between_start_and_last_update,days_since_last_update,format_count,latitude,category_score,days_since_start,open_license_and_format_count,category_count,portal,dataset_score,open_formats_datasets,datasets,name,created_at,longitude,contact_email,contact_person,category_variance,open_datasets,dataset_rank,formats_rank,last_update_rank,category_rank,category_variance_rank,dataset_score_rank,category_score_rank,dataset_rank_std,formats_rank_std,last_update_rank_std,category_rank_std,category_variance_rank_std,dataset_score_rank_std,category_score_rank_std,overall_rank_data,overall_rank
Verbandsgemeinde,0,verbandsgemeindekusel,,1003,1,49.5399844,0,,0,6,,1,0,10,Verbandsgemeinde Kusel,2015-01-05T17:19:19.775536,7.4008479,,,1.766666666666666666666666667,10,50,35,45,36,36,13,36,56.17977528089887640449438202,49.29577464788732394366197183,63.38028169014084507042253521,41.86046511627906976744186047,41.86046511627906976744186047,26.00,100,50.02387336824711224059418296,28
Verbandsgemeinde,0,verbandsgemeindelandstuhl,,1003,1,49.4143311,0,,0,1,,1,0,5,Verbandsgemeinde Landstuhl,2015-01-05T17:19:26.872578,7.5722301,,,1,5,60,35,45,70,18,13,36,67.41573033707865168539325843,49.29577464788732394366197183,63.38028169014084507042253521,81.39534883720930232558139535,20.93023255813953488372093023,26.00,100,49.98467817619067145232246378,27
Verbandsgemeinde,0,verbandsgemeinderheinboellen,,28,1,50.0066163,0,,0,5,,0,0,258,Verbandsgemeinde Rheinböllen,2015-01-05T17:19:33.905463,7.6703839,,,13947.20,0,16,35,19,39,78,50,36,17.97752808988764044943820225,49.29577464788732394366197183,26.76056338028169014084507042,45.34883720930232558139534884,90.69767441860465116279069767,100,100,81.47266273365303196661576641,72
Verbandsgemeinde,0,verbandsgemeindesanktgoar-oberwesel,,28,1,50.1027814,0,,0,2,,0,0,207,Verbandsgemeinde Sankt Goar-Oberwesel,2015-01-05T17:19:17.879947,7.67059682046591,,,1104.50,0,20,35,19,58,71,50,36,22.47191011235955056179775281,49.29577464788732394366197183,26.76056338028169014084507042,67.44186046511627906976744186,82.55813953488372093023255814,100,100,81.80582186613278124883939014,77
Verbandsgemeinde,0,verbandsgemeindevallendar,,28,1,50.4001381,0.5,,0,8,,0,0,249,Verbandsgemeinde Vallendar,2015-01-05T17:19:25.336006,7.6142479,,,6948.571428571428571428571429,0,18,35,19,24,77,50,5,20.22471910112359550561797753,49.29577464788732394366197183,26.76056338028169014084507042,27.90697674418604651162790698,89.53488372093023255813953488,100,13.88888888888888888888888889,63.42864798464742752031840622,53
Stadt,0,waghaeusel,,,0,49.2485721,0,,0,0,,0,0,0,Waghäusel,2015-01-05T17:19:40.084304,8.516277,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,weitramsdorf,,,0,50.255237,0,,0,0,,0,0,0,Weitramsdorf,2015-01-05T17:19:52.624263,10.8794106,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,wennigsen,,,0,52.2762744,0.5,,0,10,http://data.wennigsen.net ,1,0,31,Wennigsen (Deister),2015-01-05T17:19:10.014101,9.5671846,,Jens Spiwek,10.67777777777777777777777778,0,39,71,71,20,40,13,5,43.82022471910112359550561798,100,100,23.25581395348837209302325581,46.51162790697674418604651163,26.00,13.88888888888888888888888889,35.69933513340882170611916788,20
Stadt,0,westoverledingen,,,0,53.15,0,,0,0,,0,0,1,Westoverledingen,2015-01-05T17:19:19.560706,7.46667,,,,0,73,71,71,86,86,50,36,82.02247191011235955056179775,100,100,100,100,100,100,98.20224719101124001859719408,88
Landeshauptstadt,0,wiesbaden,,,0,50.0833,0,,0,2,,0,0,1,Wiesbaden,2015-01-05T17:19:24.587789,8.25,,,0,0,73,71,71,58,1,50,36,82.02247191011235955056179775,100,100,67.44186046511627906976744186,1.162790697674418604651162791,100,100,81.74875881891821722107297749,73
Stadt,0,witten,,1134,1,51.4370171,0,,0,2,,0.5,0,2,Witten,2015-01-05T17:19:25.454649,7.335124,,,0,0,68,35,61,58,1,41,36,76.40449438202247191011235955,49.29577464788732394366197183,85.91549295774647887323943662,67.44186046511627906976744186,1.162790697674418604651162791,82.00,100,70.74752444639091798718191911,55
Stadt,0,wittenburg,,,0,53.505962,0,,0,0,,0,0,0,Wittenburg,2015-01-05T17:19:38.467860,11.0847826,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,worms,,1003,1,49.6615131,0.5,,0,7,,1,0,11,Worms,2015-01-05T17:19:11.633668,8.32120408588846,,,0.9047619047619047619047619053,11,48,35,45,31,15,13,5,53.93258426966292134831460674,49.29577464788732394366197183,63.38028169014084507042253521,36.04651162790697674418604651,17.44186046511627906976744186,26.00,13.88888888888888888888888889,28.62344367280827040785375439,12
Stadt,0,wuppertal,,0,1,51.264018,0.5,,0,12,https://www.wuppertal.de/rathaus-buergerservice/offene_daten/index.php,0,0,72,Wuppertal,2015-01-05T17:19:12.407584,7.1780374,,Peter Jung,209.3636363636363636363636364,61,30,35,1,9,59,50,5,33.70786516853932584269662921,49.29577464788732394366197183,1.408450704225352112676056338,10.46511627906976744186046512,68.60465116279069767441860465,100,13.88888888888888888888888889,59.49772905060943953882679985,43
Stadt,0,zapfendorf,,,0,50.0171801,0,,0,3,,0,0,2,Zapfendorf,2015-01-05T17:19:34.395701,10.9314384,,,0.3333333333333333333333333334,0,68,71,71,52,12,50,36,76.40449438202247191011235955,100,100,60.46511627906976744186046512,13.95348837209302325581395349,100,100,82.75672850796969345175407304,79
Stadt,0,zuelpich,,,0,50.6911662,0,,0,0,,0,0,0,Zülpich,2015-01-05T17:19:46.114088,6.6499642,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,zweibruecken,,28,2,49.2534991,0.5,,0,8,,0,0,136,Zweibrücken,2015-01-05T17:19:23.384545,7.37060801928933,,,2879.982142857142857142857143,8,23,21,19,24,75,50,5,25.84269662921348314606741573,29.57746478873239436619718310,26.76056338028169014084507042,27.90697674418604651162790698,87.20930232558139534883720930,100,13.88888888888888888888888889,62.65569303519634421346106780,52
Stadt,0,zwickau,,,0,50.7185043,0,,0,2,,0,0,1,Zwickau,2015-01-05T17:19:10.265271,12.4939267,,,0,0,73,71,71,58,1,50,36,82.02247191011235955056179775,100,100,67.44186046511627906976744186,1.162790697674418604651162791,100,100,81.74875881891821722107297749,73
